# 3ph linewidth Gamma at 300 K on the irreducible points of the 20 20 20 mesh (from BAs.kappa.h5, /scattering/3ph); modes with Gamma = 0 (acoustic at Gamma) are omitted
# Frequency [cm^-1]  Gamma [cm^-1] (tau = 1/(2 Gamma))
    183.9169   4.817036e-03
    242.6764   3.455907e-03
    283.4703   2.065205e-02
    639.8951   1.044315e-01
    651.5975   4.337384e-02
    719.3814   1.977214e-01
    182.1844   5.337700e-03
    246.4319   3.721453e-03
    279.0227   1.915213e-02
    641.0951   8.999635e-02
    652.6846   3.664485e-02
    717.4757   1.771880e-01
    178.7737   6.046528e-03
    245.3431   4.804576e-03
    271.9681   2.362629e-02
    643.5223   7.334979e-02
    654.5971   3.735046e-02
    715.6062   1.561774e-01
    173.4051   6.544369e-03
    236.2364   5.602505e-03
    265.7505   3.470718e-02
    647.2046   4.956203e-02
    657.6971   4.308321e-02
    713.9913   1.291249e-01
    181.3045   5.525386e-03
    182.8647   5.498197e-03
    286.8767   3.165762e-02
    649.6572   7.885905e-02
    650.2936   7.664628e-02
    732.7829   2.669163e-01
    185.6279   4.496532e-03
    196.9879   4.845411e-03
    292.9293   3.574757e-02
    645.8402   8.920618e-02
    648.4117   8.379551e-02
    731.4375   2.860537e-01
    188.2795   4.067905e-03
    214.2947   3.941611e-03
    294.7306   4.044957e-02
    641.8477   1.016630e-01
    647.5440   8.373377e-02
    728.6239   2.893653e-01
    189.6139   4.347956e-03
    231.1073   3.627853e-03
    292.7689   3.907139e-02
    638.6985   1.124177e-01
    647.4692   7.434610e-02
    725.4897   2.852146e-01
    189.4425   4.319218e-03
    245.1989   3.012330e-03
    287.4641   2.587053e-02
    637.1679   1.188726e-01
    648.0620   6.115140e-02
    722.6732   2.670064e-01
    187.6649   4.697592e-03
    255.4921   3.450387e-03
    279.0501   1.490222e-02
    637.5052   1.193618e-01
    649.2983   5.083584e-02
    720.1877   2.298770e-01
    184.1817   5.420323e-03
    258.9760   7.726321e-03
    270.3663   1.301691e-02
    639.6232   9.992067e-02
    651.3472   3.848849e-02
    717.8252   1.911683e-01
    189.1534   4.192900e-03
    190.5027   4.145214e-03
    304.7803   4.220712e-02
    645.0026   9.058971e-02
    645.7412   9.133161e-02
    736.5569   3.349555e-01
    191.9703   3.914304e-03
    203.2144   3.962627e-03
    306.7653   4.669252e-02
    642.1484   9.763161e-02
    644.7395   9.690509e-02
    734.2776   3.295134e-01
    193.1546   3.851394e-03
    219.3578   3.397203e-03
    304.3095   4.696259e-02
    639.2379   1.090742e-01
    644.7769   9.906207e-02
    730.5069   3.105134e-01
    192.9528   4.247703e-03
    235.3480   3.069611e-03
    297.9528   3.767106e-02
    637.0544   1.156941e-01
    645.5900   8.893137e-02
    726.5833   2.995472e-01
    191.1812   4.409971e-03
    248.6601   2.904535e-03
    288.5094   2.116629e-02
    636.2856   1.200060e-01
    647.0629   6.785169e-02
    723.1588   2.785486e-01
    193.7822   3.748310e-03
    194.9421   3.597700e-03
    315.6150   5.658015e-02
    642.3158   9.399728e-02
    642.8937   9.150349e-02
    739.0326   3.907815e-01
    195.0754   3.559451e-03
    206.2304   3.676914e-03
    313.7978   6.051936e-02
    640.4961   1.033706e-01
    642.8529   9.914380e-02
    735.8003   3.662268e-01
    194.7373   3.809419e-03
    220.9708   3.228724e-03
    307.5940   5.553592e-02
    638.5039   1.127885e-01
    643.8522   1.025968e-01
    731.1717   3.173884e-01
    195.3480   3.554250e-03
    196.3855   3.214161e-03
    319.2360   6.855882e-02
    641.4617   9.693037e-02
    641.8906   9.048071e-02
    739.8985   4.113434e-01
    131.8939   2.488761e-02
    150.1483   1.598124e-02
    205.6310   1.452350e-02
    672.5968   1.519952e-02
    677.9875   1.258022e-02
    713.4248   4.625252e-02
    144.3060   1.110641e-02
    167.0301   1.125356e-02
    227.2037   2.044369e-02
    667.1564   2.566695e-02
    673.4894   1.436627e-02
    713.8669   6.521718e-02
    153.6703   8.191531e-03
    179.4170   8.278820e-03
    249.1085   2.790615e-02
    662.7897   3.911604e-02
    669.3802   1.830944e-02
    714.3429   7.577551e-02
    160.2492   7.210459e-03
    187.8722   5.801426e-03
    268.7987   3.345386e-02
    659.3801   4.863440e-02
    666.5426   2.356042e-02
    714.5769   8.691695e-02
    164.6183   6.899224e-03
    193.2615   4.794318e-03
    284.0475   3.078060e-02
    657.0109   5.007370e-02
    665.0057   2.789553e-02
    714.4175   9.904662e-02
    167.1381   6.598743e-03
    196.2420   3.889110e-03
    293.5452   2.442074e-02
    655.7115   4.984785e-02
    664.3159   3.037585e-02
    714.0713   1.067058e-01
    167.9646   6.225331e-03
    197.1943   3.689742e-03
    296.7512   2.187787e-02
    655.3131   5.021904e-02
    664.1255   3.107365e-02
    713.8981   1.086478e-01
    155.6229   8.139245e-03
    168.9603   1.023940e-02
    233.8809   2.108147e-02
    663.1809   3.906678e-02
    667.5634   3.044412e-02
    718.2868   8.982613e-02
    165.3627   7.283278e-03
    185.3053   7.892733e-03
    249.0636   2.709366e-02
    658.4037   4.364588e-02
    663.3952   3.889235e-02
    717.8553   1.058999e-01
    171.8362   6.024207e-03
    199.2644   6.020638e-03
    263.4460   3.011196e-02
    654.0287   4.597914e-02
    660.2744   4.297690e-02
    717.2132   1.264059e-01
    176.1343   5.591170e-03
    208.8992   4.751370e-03
    276.0784   3.077765e-02
    650.3968   4.893087e-02
    658.5227   4.305454e-02
    716.5409   1.386623e-01
    178.6857   5.740330e-03
    214.4951   3.514914e-03
    285.2692   2.809164e-02
    648.2282   5.261808e-02
    657.6915   4.286705e-02
    715.8783   1.463075e-01
    179.6283   5.622268e-03
    217.0187   3.012530e-03
    289.5809   2.334892e-02
    647.5980   5.258617e-02
    657.4864   4.357976e-02
    715.2520   1.492994e-01
    179.0071   5.539487e-03
    217.1385   3.005152e-03
    288.2992   2.480389e-02
    648.1575   4.824862e-02
    657.8423   4.456642e-02
    714.7092   1.447235e-01
    176.7598   5.522659e-03
    214.9521   3.733667e-03
    281.3785   2.812604e-02
    649.6996   4.341583e-02
    658.8220   4.421126e-02
    714.3005   1.302352e-01
    172.6308   6.131874e-03
    209.9290   5.498849e-03
    269.5787   3.170051e-02
    652.3139   4.300287e-02
    660.6712   4.051309e-02
    714.0550   1.123286e-01
    166.1402   6.389000e-03
    200.8544   7.573506e-03
    254.8952   3.161798e-02
    656.0841   4.696557e-02
    663.8372   3.239752e-02
    713.9575   9.476784e-02
    156.7235   7.297040e-03
    186.3738   1.052044e-02
    240.2414   2.728268e-02
    661.0071   4.009460e-02
    668.4027   2.264883e-02
    713.9528   8.042192e-02
    174.5485   6.181359e-03
    183.8290   7.530544e-03
    259.2179   2.722559e-02
    655.1716   4.650269e-02
    657.8035   4.457533e-02
    722.7161   1.567636e-01
    181.9406   5.773331e-03
    200.0800   5.637994e-03
    268.4049   3.388107e-02
    650.6111   5.497386e-02
    654.6736   4.778746e-02
    721.3768   1.660038e-01
    186.1566   4.879275e-03
    215.7794   4.666011e-03
    275.4178   3.340081e-02
    646.0622   6.878923e-02
    652.9282   4.731138e-02
    719.8328   1.711700e-01
    188.5972   5.386034e-03
    227.3391   3.743621e-03
    280.4998   3.009018e-02
    642.7837   8.506075e-02
    652.0538   4.438432e-02
    718.5055   1.760889e-01
    189.4444   4.764503e-03
    234.1424   3.248635e-03
    283.0631   2.458305e-02
    641.4079   9.355598e-02
    651.8077   4.046569e-02
    717.3912   1.768177e-01
    188.7349   4.907168e-03
    236.9042   2.954868e-03
    282.0546   2.093649e-02
    641.7782   9.085723e-02
    652.2125   3.719473e-02
    716.3157   1.712266e-01
    186.4170   5.557839e-03
    236.0865   3.445171e-03
    277.0479   2.522784e-02
    643.5190   7.829246e-02
    653.3753   3.737781e-02
    715.2123   1.614054e-01
    182.2255   5.928397e-03
    230.8112   4.668762e-03
    269.1860   3.438672e-02
    646.4924   5.748066e-02
    655.4806   4.167866e-02
    714.2808   1.419458e-01
    175.6522   6.001388e-03
    219.0785   6.934984e-03
    261.2560   3.780544e-02
    650.6840   4.373983e-02
    658.9210   4.332924e-02
    713.8250   1.180218e-01
    188.1394   5.329208e-03
    194.9768   5.289481e-03
    280.5577   3.194047e-02
    648.3051   6.914683e-02
    650.6154   6.728434e-02
    726.5752   2.240552e-01
    193.5478   4.687582e-03
    210.8366   4.084507e-03
    284.5749   3.914491e-02
    644.0245   8.531499e-02
    648.7619   7.239710e-02
    724.4018   2.318432e-01
    195.9508   4.458782e-03
    227.3842   3.595711e-03
    285.3106   3.705391e-02
    640.0979   1.018930e-01
    647.9290   7.148626e-02
    722.1194   2.322617e-01
    196.6957   3.990271e-03
    240.8571   2.866122e-03
    283.1953   2.687416e-02
    637.6699   1.099773e-01
    647.7701   6.508313e-02
    720.2094   2.256746e-01
    195.8479   4.208466e-03
    249.9851   2.802291e-03
    278.4578   1.606395e-02
    637.2166   1.095680e-01
    648.2809   5.423373e-02
    718.5641   2.087742e-01
    193.3532   5.063428e-03
    253.5204   5.189122e-03
    272.1074   1.579515e-02
    638.6763   1.044948e-01
    649.5751   4.255512e-02
    716.9457   1.848094e-01
    188.9686   5.373182e-03
    247.0202   5.711894e-03
    268.8659   2.315525e-02
    641.8620   8.955697e-02
    651.8417   3.654737e-02
    715.3810   1.658798e-01
    197.0736   4.122080e-03
    202.6240   4.212969e-03
    296.7518   4.016035e-02
    643.2075   9.425235e-02
    646.0117   8.728096e-02
    729.6793   2.956581e-01
    200.7578   4.051588e-03
    217.5868   3.375472e-03
    296.3781   4.582126e-02
    639.8376   1.055627e-01
    645.0082   8.732227e-02
    726.7262   2.939661e-01
    201.4957   3.918639e-03
    233.8720   2.785923e-03
    292.2061   3.588961e-02
    636.8146   1.154916e-01
    644.9793   8.684897e-02
    723.7526   2.843234e-01
    200.5680   3.532037e-03
    247.8462   2.660933e-03
    284.6567   1.975751e-02
    635.2417   1.176338e-01
    645.6910   7.960040e-02
    721.2260   2.611664e-01
    197.9340   4.029212e-03
    257.5196   3.151273e-03
    274.8150   1.121823e-02
    635.7971   1.118337e-01
    647.1626   6.143480e-02
    719.0166   2.239830e-01
    202.2329   4.109748e-03
    206.9542   3.599997e-03
    306.8513   5.235164e-02
    640.5528   1.062198e-01
    643.1613   9.397256e-02
    731.7372   3.171798e-01
    204.2056   4.105617e-03
    220.7658   2.915817e-03
    302.6205   4.881389e-02
    638.0653   1.161475e-01
    643.0546   9.341042e-02
    728.0174   3.042581e-01
    203.2722   3.574349e-03
    235.9097   2.559611e-03
    294.7097   3.130372e-02
    635.8378   1.203348e-01
    643.9843   9.058136e-02
    724.3541   2.946996e-01
    203.9658   4.062725e-03
    208.3091   3.615323e-03
    310.2771   5.769790e-02
    639.8149   1.128763e-01
    642.1388   9.685342e-02
    732.4647   3.262042e-01
    177.2732   5.593703e-03
    200.7341   7.048897e-03
    258.2634   3.214668e-02
    653.4084   4.619858e-02
    658.7867   4.416983e-02
    716.9788   1.289174e-01
    184.9670   5.007320e-03
    214.9146   5.703119e-03
    266.9939   3.375496e-02
    648.9040   5.346015e-02
    655.3502   4.346882e-02
    716.1603   1.462451e-01
    189.6104   4.726358e-03
    224.9376   3.878182e-03
    275.0219   3.263429e-02
    645.1615   6.904832e-02
    653.3441   4.105724e-02
    715.7660   1.566395e-01
    192.1172   4.798883e-03
    230.3291   3.199428e-03
    280.9183   2.602186e-02
    642.8615   8.586664e-02
    652.2534   3.903803e-02
    715.7126   1.668478e-01
    192.9108   4.815320e-03
    231.9691   2.791241e-03
    283.0897   2.172000e-02
    642.1217   9.117836e-02
    651.8854   3.851621e-02
    715.7389   1.712841e-01
    193.9674   4.939218e-03
    211.7025   3.934228e-03
    273.6205   3.896288e-02
    646.4485   6.633091e-02
    651.0933   5.799005e-02
    719.7814   1.713523e-01
    200.1272   4.626090e-03
    225.7749   3.651183e-03
    276.6204   3.600769e-02
    642.0786   8.609142e-02
    649.0432   6.262597e-02
    718.4027   1.784380e-01
    202.8916   4.080088e-03
    237.4914   3.103105e-03
    277.7872   2.685644e-02
    638.7239   1.014132e-01
    647.9701   6.082615e-02
    717.5746   1.879157e-01
    203.5825   4.504455e-03
    244.4175   3.042350e-03
    277.2556   2.040365e-02
    637.2326   1.046205e-01
    647.6166   5.583019e-02
    717.0359   1.924779e-01
    202.5144   4.580034e-03
    245.8194   3.331397e-03
    275.1343   1.808490e-02
    637.7693   1.049601e-01
    648.0622   5.088700e-02
    716.4583   1.859661e-01
    199.5358   4.658951e-03
    240.9908   3.380364e-03
    272.3009   2.353697e-02
    640.2367   9.624248e-02
    649.3419   4.731456e-02
    715.8559   1.745097e-01
    194.0371   4.719809e-03
    229.9137   4.027393e-03
    269.6890   3.115358e-02
    644.2320   7.485001e-02
    651.6108   4.496767e-02
    715.6332   1.607961e-01
    205.5346   4.418594e-03
    219.2467   2.987210e-03
    285.8942   4.217418e-02
    640.5205   9.555059e-02
    646.2941   7.911881e-02
    722.2598   2.363947e-01
    210.0155   3.848690e-03
    233.0832   2.299610e-03
    283.9058   3.028945e-02
    636.7539   1.071442e-01
    645.1339   8.447599e-02
    720.3821   2.360394e-01
    210.7504   3.975906e-03
    246.3585   2.327559e-03
    278.9020   1.912515e-02
    634.2014   1.102137e-01
    644.8711   8.636488e-02
    719.0078   2.323074e-01
    209.3500   4.242279e-03
    255.7241   2.925026e-03
    271.6334   9.487892e-03
    633.8832   1.048456e-01
    645.4366   7.549934e-02
    717.8525   2.171714e-01
    205.8169   4.232803e-03
    254.2567   4.972210e-03
    268.8020   1.363709e-02
    636.0747   1.022458e-01
    646.8639   5.949632e-02
    716.7176   1.939549e-01
    212.1420   3.538914e-03
    223.5009   2.609692e-03
    294.0268   4.171028e-02
    637.0432   1.129445e-01
    643.4293   8.631126e-02
    724.0419   2.902474e-01
    214.7030   3.323542e-03
    236.6840   1.916783e-03
    288.0363   2.596420e-02
    634.0356   1.180215e-01
    643.1513   8.826532e-02
    721.5728   2.723191e-01
    213.2724   3.916201e-03
    249.6312   1.985768e-03
    279.1692   1.571797e-02
    632.5936   1.155306e-01
    643.8574   9.138975e-02
    719.5561   2.480053e-01
    214.2888   3.432579e-03
    224.8364   2.354020e-03
    296.8909   3.879115e-02
    635.9849   1.202987e-01
    642.4162   9.011847e-02
    724.6997   2.978952e-01
    209.3427   3.801801e-03
    237.4044   2.721974e-03
    275.5974   2.575203e-02
    637.7581   1.002217e-01
    646.5604   7.498910e-02
    717.5659   1.893460e-01
    213.7248   3.695392e-03
    248.3201   2.803256e-03
    272.8476   1.437359e-02
    634.2939   1.008176e-01
    645.2408   8.001455e-02
    717.3698   2.058181e-01
    214.9790   3.195163e-03
    253.4253   3.238842e-03
    270.7692   7.245646e-03
    632.9952   9.960444e-02
    644.8019   8.074300e-02
    717.3819   2.152022e-01
    219.1373   3.850111e-03
    241.7209   1.840308e-03
    279.3960   1.735247e-02
    632.9860   1.106050e-01
    643.6250   9.134271e-02
    719.1118   2.404090e-01
    221.6091   3.557762e-03
    252.6152   1.673583e-03
    272.2335   8.524336e-03
    630.6292   1.112522e-01
    643.2110   9.955735e-02
    718.3128   2.400119e-01
    219.7201   3.106857e-03
    257.6843   2.820361e-03
    267.2464   4.952000e-03
    631.0837   1.051273e-01
    643.7494   9.325455e-02
    717.7291   2.296512e-01
    222.4488   3.883636e-03
    243.1171   1.714987e-03
    280.7785   1.522305e-02
    631.2783   1.192087e-01
    642.6166   9.248599e-02
    719.7057   2.575316e-01
    225.5337   3.712438e-03
    258.0460   1.501962e-03
    266.5977   4.337833e-03
    629.0906   1.169934e-01
    642.6874   1.047602e-01
    718.1082   2.451450e-01
